type1,type2,spritepath_front,spritepath_back
Ghost,,pokemon_images/sprites/0272-Misdreavus-200/front/normal,pokemon_images/sprites/0272-Misdreavus-200/back/normal
Psychic,,pokemon_images/sprites/0273-Unown-201/front/normal,pokemon_images/sprites/0273-Unown-201/back/normal
Psychic,,pokemon_images/sprites/0274-Wobbuffet-202/front/normal,pokemon_images/sprites/0274-Wobbuffet-202/back/normal
Normal,Psychic,pokemon_images/sprites/0275-Girafarig-203/front/normal,pokemon_images/sprites/0275-Girafarig-203/back/normal
Bug,,pokemon_images/sprites/0276-Pineco-204/front/normal,pokemon_images/sprites/0276-Pineco-204/back/normal
Bug,Steel,pokemon_images/sprites/0277-Forretress-205/front/normal,pokemon_images/sprites/0277-Forretress-205/back/normal
Normal,,pokemon_images/sprites/0278-Dunsparce-206/front/normal,pokemon_images/sprites/0278-Dunsparce-206/back/normal
Ground,Flying,pokemon_images/sprites/0279-Gligar-207/front/normal,pokemon_images/sprites/0279-Gligar-207/back/normal
Steel,Ground,pokemon_images/sprites/0280-Steelix-208/front/normal,pokemon_images/sprites/0280-Steelix-208/back/normal
Fairy,,pokemon_images/sprites/0282-Snubbull-209/front/normal,pokemon_images/sprites/0282-Snubbull-209/back/normal
Fairy,,pokemon_images/sprites/0283-Granbull-210/front/normal,pokemon_images/sprites/0283-Granbull-210/back/normal
Water,Poison,pokemon_images/sprites/0284-Qwilfish-211/front/normal,pokemon_images/sprites/0284-Qwilfish-211/back/normal
Bug,Steel,pokemon_images/sprites/0285-Scizor-212/front/normal,pokemon_images/sprites/0285-Scizor-212/back/normal
Bug,Rock,pokemon_images/sprites/0287-Shuckle-213/front/normal,pokemon_images/sprites/0287-Shuckle-213/back/normal
Bug,Fighting,pokemon_images/sprites/0288-Heracross-214/front/normal,pokemon_images/sprites/0288-Heracross-214/back/normal
Dark,Ice,pokemon_images/sprites/0290-Sneasel-215/front/normal,pokemon_images/sprites/0290-Sneasel-215/back/normal
Normal,,pokemon_images/sprites/0291-Teddiursa-216/front/normal,pokemon_images/sprites/0291-Teddiursa-216/back/normal
Normal,,pokemon_images/sprites/0292-Ursaring-217/front/normal,pokemon_images/sprites/0292-Ursaring-217/back/normal
Fire,,pokemon_images/sprites/0293-Slugma-218/front/normal,pokemon_images/sprites/0293-Slugma-218/back/normal
Fire,Rock,pokemon_images/sprites/0294-Magcargo-219/front/normal,pokemon_images/sprites/0294-Magcargo-219/back/normal
Ice,Ground,pokemon_images/sprites/0295-Swinub-220/front/normal,pokemon_images/sprites/0295-Swinub-220/back/normal
Ice,Ground,pokemon_images/sprites/0296-Piloswine-221/front/normal,pokemon_images/sprites/0296-Piloswine-221/back/normal
Water,Rock,pokemon_images/sprites/0297-Corsola-222/front/normal,pokemon_images/sprites/0297-Corsola-222/back/normal
Ghost,,pokemon_images/sprites/0298-Corsola Galar-222/front/normal,pokemon_images/sprites/0298-Corsola Galar-222/back/normal
Water,,pokemon_images/sprites/0299-Remoraid-223/front/normal,pokemon_images/sprites/0299-Remoraid-223/back/normal
Water,,pokemon_images/sprites/0300-Octillery-224/front/normal,pokemon_images/sprites/0300-Octillery-224/back/normal
Ice,Flying,pokemon_images/sprites/0301-Delibird-225/front/normal,pokemon_images/sprites/0301-Delibird-225/back/normal
Water,Flying,pokemon_images/sprites/0302-Mantine-226/front/normal,pokemon_images/sprites/0302-Mantine-226/back/normal
Steel,Flying,pokemon_images/sprites/0303-Skarmory-227/front/normal,pokemon_images/sprites/0303-Skarmory-227/back/normal
Dark,Fire,pokemon_images/sprites/0304-Houndour-228/front/normal,pokemon_images/sprites/0304-Houndour-228/back/normal
Dark,Fire,pokemon_images/sprites/0305-Houndoom-229/front/normal,pokemon_images/sprites/0305-Houndoom-229/back/normal
Water,Dragon,pokemon_images/sprites/0307-Kingdra-230/front/normal,pokemon_images/sprites/0307-Kingdra-230/back/normal
Ground,,pokemon_images/sprites/0308-Phanpy-231/front/normal,pokemon_images/sprites/0308-Phanpy-231/back/normal
Ground,,pokemon_images/sprites/0309-Donphan-232/front/normal,pokemon_images/sprites/0309-Donphan-232/back/normal
Normal,,pokemon_images/sprites/0310-Porygon2-233/front/normal,pokemon_images/sprites/0310-Porygon2-233/back/normal
Normal,,pokemon_images/sprites/0311-Stantler-234/front/normal,pokemon_images/sprites/0311-Stantler-234/back/normal
Normal,,pokemon_images/sprites/0312-Smeargle-235/front/normal,pokemon_images/sprites/0312-Smeargle-235/back/normal
Fighting,,pokemon_images/sprites/0313-Tyrogue-236/front/normal,pokemon_images/sprites/0313-Tyrogue-236/back/normal
Fighting,,pokemon_images/sprites/0314-Hitmontop-237/front/normal,pokemon_images/sprites/0314-Hitmontop-237/back/normal
Ice,Psychic,pokemon_images/sprites/0315-Smoochum-238/front/normal,pokemon_images/sprites/0315-Smoochum-238/back/normal
Electric,,pokemon_images/sprites/0316-Elekid-239/front/normal,pokemon_images/sprites/0316-Elekid-239/back/normal
Fire,,pokemon_images/sprites/0317-Magby-240/front/normal,pokemon_images/sprites/0317-Magby-240/back/normal
Normal,,pokemon_images/sprites/0318-Miltank-241/front/normal,pokemon_images/sprites/0318-Miltank-241/back/normal
Normal,,pokemon_images/sprites/0319-Blissey-242/front/normal,pokemon_images/sprites/0319-Blissey-242/back/normal
Electric,,pokemon_images/sprites/0320-Raikou-243/front/normal,pokemon_images/sprites/0320-Raikou-243/back/normal
Fire,,pokemon_images/sprites/0321-Entei-244/front/normal,pokemon_images/sprites/0321-Entei-244/back/normal
Water,,pokemon_images/sprites/0322-Suicune-245/front/normal,pokemon_images/sprites/0322-Suicune-245/back/normal
Rock,Ground,pokemon_images/sprites/0323-Larvitar-246/front/normal,pokemon_images/sprites/0323-Larvitar-246/back/normal
Rock,Ground,pokemon_images/sprites/0324-Pupitar-247/front/normal,pokemon_images/sprites/0324-Pupitar-247/back/normal
Rock,Dark,pokemon_images/sprites/0325-Tyranitar-248/front/normal,pokemon_images/sprites/0325-Tyranitar-248/back/normal
Psychic,Flying,pokemon_images/sprites/0327-Lugia-249/front/normal,pokemon_images/sprites/0327-Lugia-249/back/normal
Fire,Flying,pokemon_images/sprites/0328-Ho Oh-250/front/normal,pokemon_images/sprites/0328-Ho Oh-250/back/normal
Psychic,Grass,pokemon_images/sprites/0329-Celebi-251/front/normal,pokemon_images/sprites/0329-Celebi-251/back/normal
Grass,,pokemon_images/sprites/0330-Treecko-252/front/normal,pokemon_images/sprites/0330-Treecko-252/back/normal
Grass,,pokemon_images/sprites/0331-Grovyle-253/front/normal,pokemon_images/sprites/0331-Grovyle-253/back/normal
Grass,,pokemon_images/sprites/0332-Sceptile-254/front/normal,pokemon_images/sprites/0332-Sceptile-254/back/normal
Fire,,pokemon_images/sprites/0334-Torchic-255/front/normal,pokemon_images/sprites/0334-Torchic-255/back/normal
Fire,Fighting,pokemon_images/sprites/0335-Combusken-256/front/normal,pokemon_images/sprites/0335-Combusken-256/back/normal
Fire,Fighting,pokemon_images/sprites/0336-Blaziken-257/front/normal,pokemon_images/sprites/0336-Blaziken-257/back/normal
Water,,pokemon_images/sprites/0338-Mudkip-258/front/normal,pokemon_images/sprites/0338-Mudkip-258/back/normal
Water,Ground,pokemon_images/sprites/0339-Marshtomp-259/front/normal,pokemon_images/sprites/0339-Marshtomp-259/back/normal
Water,Ground,pokemon_images/sprites/0340-Swampert-260/front/normal,pokemon_images/sprites/0340-Swampert-260/back/normal
Dark,,pokemon_images/sprites/0342-Poochyena-261/front/normal,pokemon_images/sprites/0342-Poochyena-261/back/normal
Dark,,pokemon_images/sprites/0343-Mightyena-262/front/normal,pokemon_images/sprites/0343-Mightyena-262/back/normal
Normal,,pokemon_images/sprites/0344-Zigzagoon-263/front/normal,pokemon_images/sprites/0344-Zigzagoon-263/back/normal
Dark,Normal,pokemon_images/sprites/0345-Zigzagoon Galar-263/front/normal,pokemon_images/sprites/0345-Zigzagoon Galar-263/back/normal
Normal,,pokemon_images/sprites/0346-Linoone-264/front/normal,pokemon_images/sprites/0346-Linoone-264/back/normal
Dark,Normal,pokemon_images/sprites/0347-Linoone Galar-264/front/normal,pokemon_images/sprites/0347-Linoone Galar-264/back/normal
Bug,,pokemon_images/sprites/0348-Wurmple-265/front/normal,pokemon_images/sprites/0348-Wurmple-265/back/normal
Bug,,pokemon_images/sprites/0349-Silcoon-266/front/normal,pokemon_images/sprites/0349-Silcoon-266/back/normal
Bug,Flying,pokemon_images/sprites/0350-Beautifly-267/front/normal,pokemon_images/sprites/0350-Beautifly-267/back/normal
Bug,,pokemon_images/sprites/0351-Cascoon-268/front/normal,pokemon_images/sprites/0351-Cascoon-268/back/normal
Bug,Poison,pokemon_images/sprites/0352-Dustox-269/front/normal,pokemon_images/sprites/0352-Dustox-269/back/normal
Water,Grass,pokemon_images/sprites/0353-Lotad-270/front/normal,pokemon_images/sprites/0353-Lotad-270/back/normal
Water,Grass,pokemon_images/sprites/0354-Lombre-271/front/normal,pokemon_images/sprites/0354-Lombre-271/back/normal
Water,Grass,pokemon_images/sprites/0355-Ludicolo-272/front/normal,pokemon_images/sprites/0355-Ludicolo-272/back/normal
Grass,,pokemon_images/sprites/0356-Seedot-273/front/normal,pokemon_images/sprites/0356-Seedot-273/back/normal
Grass,Dark,pokemon_images/sprites/0357-Nuzleaf-274/front/normal,pokemon_images/sprites/0357-Nuzleaf-274/back/normal
Grass,Dark,pokemon_images/sprites/0358-Shiftry-275/front/normal,pokemon_images/sprites/0358-Shiftry-275/back/normal
Normal,Flying,pokemon_images/sprites/0359-Taillow-276/front/normal,pokemon_images/sprites/0359-Taillow-276/back/normal
Normal,Flying,pokemon_images/sprites/0360-Swellow-277/front/normal,pokemon_images/sprites/0360-Swellow-277/back/normal
Water,Flying,pokemon_images/sprites/0361-Wingull-278/front/normal,pokemon_images/sprites/0361-Wingull-278/back/normal
Water,Flying,pokemon_images/sprites/0362-Pelipper-279/front/normal,pokemon_images/sprites/0362-Pelipper-279/back/normal
Psychic,Fairy,pokemon_images/sprites/0363-Ralts-280/front/normal,pokemon_images/sprites/0363-Ralts-280/back/normal
Psychic,Fairy,pokemon_images/sprites/0364-Kirlia-281/front/normal,pokemon_images/sprites/0364-Kirlia-281/back/normal
Psychic,Fairy,pokemon_images/sprites/0365-Gardevoir-282/front/normal,pokemon_images/sprites/0365-Gardevoir-282/back/normal
Bug,Water,pokemon_images/sprites/0367-Surskit-283/front/normal,pokemon_images/sprites/0367-Surskit-283/back/normal
Bug,Flying,pokemon_images/sprites/0368-Masquerain-284/front/normal,pokemon_images/sprites/0368-Masquerain-284/back/normal
Grass,,pokemon_images/sprites/0369-Shroomish-285/front/normal,pokemon_images/sprites/0369-Shroomish-285/back/normal
Grass,Fighting,pokemon_images/sprites/0370-Breloom-286/front/normal,pokemon_images/sprites/0370-Breloom-286/back/normal
Normal,,pokemon_images/sprites/0371-Slakoth-287/front/normal,pokemon_images/sprites/0371-Slakoth-287/back/normal
Normal,,pokemon_images/sprites/0372-Vigoroth-288/front/normal,pokemon_images/sprites/0372-Vigoroth-288/back/normal
Normal,,pokemon_images/sprites/0373-Slaking-289/front/normal,pokemon_images/sprites/0373-Slaking-289/back/normal
Bug,Ground,pokemon_images/sprites/0374-Nincada-290/front/normal,pokemon_images/sprites/0374-Nincada-290/back/normal
Bug,Flying,pokemon_images/sprites/0375-Ninjask-291/front/normal,pokemon_images/sprites/0375-Ninjask-291/back/normal
Bug,Ghost,pokemon_images/sprites/0376-Shedinja-292/front/normal,pokemon_images/sprites/0376-Shedinja-292/back/normal
Normal,,pokemon_images/sprites/0377-Whismur-293/front/normal,pokemon_images/sprites/0377-Whismur-293/back/normal
Normal,,pokemon_images/sprites/0378-Loudred-294/front/normal,pokemon_images/sprites/0378-Loudred-294/back/normal
Normal,,pokemon_images/sprites/0379-Exploud-295/front/normal,pokemon_images/sprites/0379-Exploud-295/back/normal
Fighting,,pokemon_images/sprites/0380-Makuhita-296/front/normal,pokemon_images/sprites/0380-Makuhita-296/back/normal
Fighting,,pokemon_images/sprites/0381-Hariyama-297/front/normal,pokemon_images/sprites/0381-Hariyama-297/back/normal
Normal,Fairy,pokemon_images/sprites/0382-Azurill-298/front/normal,pokemon_images/sprites/0382-Azurill-298/back/normal
Rock,,pokemon_images/sprites/0383-Nosepass-299/front/normal,pokemon_images/sprites/0383-Nosepass-299/back/normal
Normal,,pokemon_images/sprites/0384-Skitty-300/front/normal,pokemon_images/sprites/0384-Skitty-300/back/normal
Normal,,pokemon_images/sprites/0385-Delcatty-301/front/normal,pokemon_images/sprites/0385-Delcatty-301/back/normal
Dark,Ghost,pokemon_images/sprites/0386-Sableye-302/front/normal,pokemon_images/sprites/0386-Sableye-302/back/normal
Steel,Fairy,pokemon_images/sprites/0388-Mawile-303/front/normal,pokemon_images/sprites/0388-Mawile-303/back/normal
Steel,Rock,pokemon_images/sprites/0390-Aron-304/front/normal,pokemon_images/sprites/0390-Aron-304/back/normal
Steel,Rock,pokemon_images/sprites/0391-Lairon-305/front/normal,pokemon_images/sprites/0391-Lairon-305/back/normal
Steel,Rock,pokemon_images/sprites/0392-Aggron-306/front/normal,pokemon_images/sprites/0392-Aggron-306/back/normal
Fighting,Psychic,pokemon_images/sprites/0394-Meditite-307/front/normal,pokemon_images/sprites/0394-Meditite-307/back/normal
Fighting,Psychic,pokemon_images/sprites/0395-Medicham-308/front/normal,pokemon_images/sprites/0395-Medicham-308/back/normal
Electric,,pokemon_images/sprites/0397-Electrike-309/front/normal,pokemon_images/sprites/0397-Electrike-309/back/normal
Electric,,pokemon_images/sprites/0398-Manectric-310/front/normal,pokemon_images/sprites/0398-Manectric-310/back/normal
Electric,,pokemon_images/sprites/0400-Plusle-311/front/normal,pokemon_images/sprites/0400-Plusle-311/back/normal
Electric,,pokemon_images/sprites/0401-Minun-312/front/normal,pokemon_images/sprites/0401-Minun-312/back/normal
Bug,,pokemon_images/sprites/0402-Volbeat-313/front/normal,pokemon_images/sprites/0402-Volbeat-313/back/normal
Bug,,pokemon_images/sprites/0403-Illumise-314/front/normal,pokemon_images/sprites/0403-Illumise-314/back/normal
Grass,Poison,pokemon_images/sprites/0404-Roselia-315/front/normal,pokemon_images/sprites/0404-Roselia-315/back/normal
Poison,,pokemon_images/sprites/0405-Gulpin-316/front/normal,pokemon_images/sprites/0405-Gulpin-316/back/normal
Poison,,pokemon_images/sprites/0406-Swalot-317/front/normal,pokemon_images/sprites/0406-Swalot-317/back/normal
Water,Dark,pokemon_images/sprites/0407-Carvanha-318/front/normal,pokemon_images/sprites/0407-Carvanha-318/back/normal
Water,Dark,pokemon_images/sprites/0408-Sharpedo-319/front/normal,pokemon_images/sprites/0408-Sharpedo-319/back/normal
Water,,pokemon_images/sprites/0410-Wailmer-320/front/normal,pokemon_images/sprites/0410-Wailmer-320/back/normal
Water,,pokemon_images/sprites/0411-Wailord-321/front/normal,pokemon_images/sprites/0411-Wailord-321/back/normal
Fire,Ground,pokemon_images/sprites/0412-Numel-322/front/normal,pokemon_images/sprites/0412-Numel-322/back/normal
Fire,Ground,pokemon_images/sprites/0413-Camerupt-323/front/normal,pokemon_images/sprites/0413-Camerupt-323/back/normal
Fire,,pokemon_images/sprites/0415-Torkoal-324/front/normal,pokemon_images/sprites/0415-Torkoal-324/back/normal
Psychic,,pokemon_images/sprites/0416-Spoink-325/front/normal,pokemon_images/sprites/0416-Spoink-325/back/normal
Psychic,,pokemon_images/sprites/0417-Grumpig-326/front/normal,pokemon_images/sprites/0417-Grumpig-326/back/normal
Normal,,pokemon_images/sprites/0418-Spinda-327/front/normal,pokemon_images/sprites/0418-Spinda-327/back/normal
Ground,,pokemon_images/sprites/0419-Trapinch-328/front/normal,pokemon_images/sprites/0419-Trapinch-328/back/normal
Ground,Dragon,pokemon_images/sprites/0420-Vibrava-329/front/normal,pokemon_images/sprites/0420-Vibrava-329/back/normal
Ground,Dragon,pokemon_images/sprites/0421-Flygon-330/front/normal,pokemon_images/sprites/0421-Flygon-330/back/normal
Grass,,pokemon_images/sprites/0422-Cacnea-331/front/normal,pokemon_images/sprites/0422-Cacnea-331/back/normal
Grass,Dark,pokemon_images/sprites/0423-Cacturne-332/front/normal,pokemon_images/sprites/0423-Cacturne-332/back/normal
Normal,Flying,pokemon_images/sprites/0424-Swablu-333/front/normal,pokemon_images/sprites/0424-Swablu-333/back/normal
Dragon,Flying,pokemon_images/sprites/0425-Altaria-334/front/normal,pokemon_images/sprites/0425-Altaria-334/back/normal
Normal,,pokemon_images/sprites/0427-Zangoose-335/front/normal,pokemon_images/sprites/0427-Zangoose-335/back/normal
Poison,,pokemon_images/sprites/0428-Seviper-336/front/normal,pokemon_images/sprites/0428-Seviper-336/back/normal
Rock,Psychic,pokemon_images/sprites/0429-Lunatone-337/front/normal,pokemon_images/sprites/0429-Lunatone-337/back/normal
Rock,Psychic,pokemon_images/sprites/0430-Solrock-338/front/normal,pokemon_images/sprites/0430-Solrock-338/back/normal
Water,Ground,pokemon_images/sprites/0431-Barboach-339/front/normal,pokemon_images/sprites/0431-Barboach-339/back/normal
Water,Ground,pokemon_images/sprites/0432-Whiscash-340/front/normal,pokemon_images/sprites/0432-Whiscash-340/back/normal
Water,,pokemon_images/sprites/0433-Corphish-341/front/normal,pokemon_images/sprites/0433-Corphish-341/back/normal
Water,Dark,pokemon_images/sprites/0434-Crawdaunt-342/front/normal,pokemon_images/sprites/0434-Crawdaunt-342/back/normal
Ground,Psychic,pokemon_images/sprites/0435-Baltoy-343/front/normal,pokemon_images/sprites/0435-Baltoy-343/back/normal
Ground,Psychic,pokemon_images/sprites/0436-Claydol-344/front/normal,pokemon_images/sprites/0436-Claydol-344/back/normal
Rock,Grass,pokemon_images/sprites/0437-Lileep-345/front/normal,pokemon_images/sprites/0437-Lileep-345/back/normal
Rock,Grass,pokemon_images/sprites/0438-Cradily-346/front/normal,pokemon_images/sprites/0438-Cradily-346/back/normal
Rock,Bug,pokemon_images/sprites/0439-Anorith-347/front/normal,pokemon_images/sprites/0439-Anorith-347/back/normal
Rock,Bug,pokemon_images/sprites/0440-Armaldo-348/front/normal,pokemon_images/sprites/0440-Armaldo-348/back/normal
Water,,pokemon_images/sprites/0441-Feebas-349/front/normal,pokemon_images/sprites/0441-Feebas-349/back/normal
Water,,pokemon_images/sprites/0442-Milotic-350/front/normal,pokemon_images/sprites/0442-Milotic-350/back/normal
Normal,,pokemon_images/sprites/0443-Castform-351/front/normal,pokemon_images/sprites/0443-Castform-351/back/normal
Water,,pokemon_images/sprites/0444-Castform Rainy-351/front/normal,pokemon_images/sprites/0444-Castform Rainy-351/back/normal
Ice,,pokemon_images/sprites/0445-Castform Snowy-351/front/normal,pokemon_images/sprites/0445-Castform Snowy-351/back/normal
Fire,,pokemon_images/sprites/0446-Castform Sunny-351/front/normal,pokemon_images/sprites/0446-Castform Sunny-351/back/normal
Normal,,pokemon_images/sprites/0447-Kecleon-352/front/normal,pokemon_images/sprites/0447-Kecleon-352/back/normal
Ghost,,pokemon_images/sprites/0448-Shuppet-353/front/normal,pokemon_images/sprites/0448-Shuppet-353/back/normal
Ghost,,pokemon_images/sprites/0449-Banette-354/front/normal,pokemon_images/sprites/0449-Banette-354/back/normal
Ghost,,pokemon_images/sprites/0451-Duskull-355/front/normal,pokemon_images/sprites/0451-Duskull-355/back/normal
Ghost,,pokemon_images/sprites/0452-Dusclops-356/front/normal,pokemon_images/sprites/0452-Dusclops-356/back/normal
Grass,Flying,pokemon_images/sprites/0453-Tropius-357/front/normal,pokemon_images/sprites/0453-Tropius-357/back/normal
Psychic,,pokemon_images/sprites/0454-Chimecho-358/front/normal,pokemon_images/sprites/0454-Chimecho-358/back/normal
Dark,,pokemon_images/sprites/0455-Absol-359/front/normal,pokemon_images/sprites/0455-Absol-359/back/normal
Psychic,,pokemon_images/sprites/0457-Wynaut-360/front/normal,pokemon_images/sprites/0457-Wynaut-360/back/normal
Ice,,pokemon_images/sprites/0458-Snorunt-361/front/normal,pokemon_images/sprites/0458-Snorunt-361/back/normal
Ice,,pokemon_images/sprites/0459-Glalie-362/front/normal,pokemon_images/sprites/0459-Glalie-362/back/normal
Ice,Water,pokemon_images/sprites/0461-Spheal-363/front/normal,pokemon_images/sprites/0461-Spheal-363/back/normal
Ice,Water,pokemon_images/sprites/0462-Sealeo-364/front/normal,pokemon_images/sprites/0462-Sealeo-364/back/normal
Ice,Water,pokemon_images/sprites/0463-Walrein-365/front/normal,pokemon_images/sprites/0463-Walrein-365/back/normal
Water,,pokemon_images/sprites/0464-Clamperl-366/front/normal,pokemon_images/sprites/0464-Clamperl-366/back/normal
Water,,pokemon_images/sprites/0465-Huntail-367/front/normal,pokemon_images/sprites/0465-Huntail-367/back/normal
Water,,pokemon_images/sprites/0466-Gorebyss-368/front/normal,pokemon_images/sprites/0466-Gorebyss-368/back/normal
Water,Rock,pokemon_images/sprites/0467-Relicanth-369/front/normal,pokemon_images/sprites/0467-Relicanth-369/back/normal
Water,,pokemon_images/sprites/0468-Luvdisc-370/front/normal,pokemon_images/sprites/0468-Luvdisc-370/back/normal
Dragon,,pokemon_images/sprites/0469-Bagon-371/front/normal,pokemon_images/sprites/0469-Bagon-371/back/normal
Dragon,,pokemon_images/sprites/0470-Shelgon-372/front/normal,pokemon_images/sprites/0470-Shelgon-372/back/normal
Dragon,Flying,pokemon_images/sprites/0471-Salamence-373/front/normal,pokemon_images/sprites/0471-Salamence-373/back/normal
Steel,Psychic,pokemon_images/sprites/0473-Beldum-374/front/normal,pokemon_images/sprites/0473-Beldum-374/back/normal
Steel,Psychic,pokemon_images/sprites/0474-Metang-375/front/normal,pokemon_images/sprites/0474-Metang-375/back/normal
Steel,Psychic,pokemon_images/sprites/0475-Metagross-376/front/normal,pokemon_images/sprites/0475-Metagross-376/back/normal
Rock,,pokemon_images/sprites/0477-Regirock-377/front/normal,pokemon_images/sprites/0477-Regirock-377/back/normal
Ice,,pokemon_images/sprites/0478-Regice-378/front/normal,pokemon_images/sprites/0478-Regice-378/back/normal
Steel,,pokemon_images/sprites/0479-Registeel-379/front/normal,pokemon_images/sprites/0479-Registeel-379/back/normal
Dragon,Psychic,pokemon_images/sprites/0480-Latias-380/front/normal,pokemon_images/sprites/0480-Latias-380/back/normal
Dragon,Psychic,pokemon_images/sprites/0482-Latios-381/front/normal,pokemon_images/sprites/0482-Latios-381/back/normal
Water,,pokemon_images/sprites/0484-Kyogre-382/front/normal,pokemon_images/sprites/0484-Kyogre-382/back/normal
Ground,,pokemon_images/sprites/0486-Groudon-383/front/normal,pokemon_images/sprites/0486-Groudon-383/back/normal
Dragon,Flying,pokemon_images/sprites/0488-Rayquaza-384/front/normal,pokemon_images/sprites/0488-Rayquaza-384/back/normal
Steel,Psychic,pokemon_images/sprites/0490-Jirachi-385/front/normal,pokemon_images/sprites/0490-Jirachi-385/back/normal
Psychic,,pokemon_images/sprites/0491-Deoxys Attack-386/front/normal,pokemon_images/sprites/0491-Deoxys Attack-386/back/normal
Psychic,,pokemon_images/sprites/0492-Deoxys Defense-386/front/normal,pokemon_images/sprites/0492-Deoxys Defense-386/back/normal
Psychic,,pokemon_images/sprites/0493-Deoxys Normal-386/front/normal,pokemon_images/sprites/0493-Deoxys Normal-386/back/normal
Psychic,,pokemon_images/sprites/0494-Deoxys Speed-386/front/normal,pokemon_images/sprites/0494-Deoxys Speed-386/back/normal
Grass,,pokemon_images/sprites/0495-Turtwig-387/front/normal,pokemon_images/sprites/0495-Turtwig-387/back/normal
Grass,,pokemon_images/sprites/0496-Grotle-388/front/normal,pokemon_images/sprites/0496-Grotle-388/back/normal
Grass,Ground,pokemon_images/sprites/0497-Torterra-389/front/normal,pokemon_images/sprites/0497-Torterra-389/back/normal
Fire,,pokemon_images/sprites/0498-Chimchar-390/front/normal,pokemon_images/sprites/0498-Chimchar-390/back/normal
Fire,Fighting,pokemon_images/sprites/0499-Monferno-391/front/normal,pokemon_images/sprites/0499-Monferno-391/back/normal
Fire,Fighting,pokemon_images/sprites/0500-Infernape-392/front/normal,pokemon_images/sprites/0500-Infernape-392/back/normal
Water,,pokemon_images/sprites/0501-Piplup-393/front/normal,pokemon_images/sprites/0501-Piplup-393/back/normal
Water,,pokemon_images/sprites/0502-Prinplup-394/front/normal,pokemon_images/sprites/0502-Prinplup-394/back/normal
Water,Steel,pokemon_images/sprites/0503-Empoleon-395/front/normal,pokemon_images/sprites/0503-Empoleon-395/back/normal
Normal,Flying,pokemon_images/sprites/0504-Starly-396/front/normal,pokemon_images/sprites/0504-Starly-396/back/normal
Normal,Flying,pokemon_images/sprites/0505-Staravia-397/front/normal,pokemon_images/sprites/0505-Staravia-397/back/normal
Normal,Flying,pokemon_images/sprites/0506-Staraptor-398/front/normal,pokemon_images/sprites/0506-Staraptor-398/back/normal
Normal,,pokemon_images/sprites/0507-Bidoof-399/front/normal,pokemon_images/sprites/0507-Bidoof-399/back/normal
Normal,Water,pokemon_images/sprites/0508-Bibarel-400/front/normal,pokemon_images/sprites/0508-Bibarel-400/back/normal
Bug,,pokemon_images/sprites/0509-Kricketot-401/front/normal,pokemon_images/sprites/0509-Kricketot-401/back/normal
Bug,,pokemon_images/sprites/0510-Kricketune-402/front/normal,pokemon_images/sprites/0510-Kricketune-402/back/normal
Electric,,pokemon_images/sprites/0511-Shinx-403/front/normal,pokemon_images/sprites/0511-Shinx-403/back/normal
Electric,,pokemon_images/sprites/0512-Luxio-404/front/normal,pokemon_images/sprites/0512-Luxio-404/back/normal
Electric,,pokemon_images/sprites/0513-Luxray-405/front/normal,pokemon_images/sprites/0513-Luxray-405/back/normal
Grass,Poison,pokemon_images/sprites/0514-Budew-406/front/normal,pokemon_images/sprites/0514-Budew-406/back/normal
Grass,Poison,pokemon_images/sprites/0515-Roserade-407/front/normal,pokemon_images/sprites/0515-Roserade-407/back/normal
Rock,,pokemon_images/sprites/0516-Cranidos-408/front/normal,pokemon_images/sprites/0516-Cranidos-408/back/normal
Rock,,pokemon_images/sprites/0517-Rampardos-409/front/normal,pokemon_images/sprites/0517-Rampardos-409/back/normal
Rock,Steel,pokemon_images/sprites/0518-Shieldon-410/front/normal,pokemon_images/sprites/0518-Shieldon-410/back/normal
Rock,Steel,pokemon_images/sprites/0519-Bastiodon-411/front/normal,pokemon_images/sprites/0519-Bastiodon-411/back/normal
Bug,,pokemon_images/sprites/0520-Burmy-412/front/normal,pokemon_images/sprites/0520-Burmy-412/back/normal
Bug,Grass,pokemon_images/sprites/0521-Wormadam Plant-413/front/normal,pokemon_images/sprites/0521-Wormadam Plant-413/back/normal
Bug,Ground,pokemon_images/sprites/0522-Wormadam Sandy-413/front/normal,pokemon_images/sprites/0522-Wormadam Sandy-413/back/normal
Bug,Steel,pokemon_images/sprites/0523-Wormadam Trash-413/front/normal,pokemon_images/sprites/0523-Wormadam Trash-413/back/normal
Bug,Flying,pokemon_images/sprites/0524-Mothim-414/front/normal,pokemon_images/sprites/0524-Mothim-414/back/normal
Bug,Flying,pokemon_images/sprites/0525-Combee-415/front/normal,pokemon_images/sprites/0525-Combee-415/back/normal
Bug,Flying,pokemon_images/sprites/0526-Vespiquen-416/front/normal,pokemon_images/sprites/0526-Vespiquen-416/back/normal
Electric,,pokemon_images/sprites/0527-Pachirisu-417/front/normal,pokemon_images/sprites/0527-Pachirisu-417/back/normal
Water,,pokemon_images/sprites/0528-Buizel-418/front/normal,pokemon_images/sprites/0528-Buizel-418/back/normal
Water,,pokemon_images/sprites/0529-Floatzel-419/front/normal,pokemon_images/sprites/0529-Floatzel-419/back/normal
Grass,,pokemon_images/sprites/0530-Cherubi-420/front/normal,pokemon_images/sprites/0530-Cherubi-420/back/normal
Grass,,pokemon_images/sprites/0531-Cherrim-421/front/normal,pokemon_images/sprites/0531-Cherrim-421/back/normal
