type1,type2,Red,Orange,Yellow,Green,Cyan,Blue,Purple,Pink,White,Gray,Black,Brown
Water,Rock,0.0,0.0,0.0,0.0,0.0,72.0,0.0,611.0,119.0,0.0,138.0,0.0
Ghost,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,572.0,330.0,46.0,0.0
Water,None,18.0,0.0,0.0,0.0,67.0,242.0,0.0,0.0,264.0,2.0,52.0,0.0
Water,None,747.0,0.0,56.0,0.0,0.0,0.0,0.0,130.0,113.0,9.0,173.0,0.0
Ice,Flying,401.0,27.0,42.0,0.0,0.0,0.0,0.0,0.0,147.0,125.0,182.0,28.0
Water,Flying,0.0,0.0,0.0,0.0,0.0,525.0,611.0,0.0,321.0,0.0,172.0,0.0
Steel,Flying,306.0,0.0,5.0,0.0,0.0,837.0,0.0,35.0,424.0,0.0,273.0,0.0
Dark,Fire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,512.0,264.0,9.0
Dark,Fire,59.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,110.0,948.0,458.0,54.0
Water,Dragon,2.0,14.0,28.0,0.0,0.0,916.0,0.0,0.0,98.0,6.0,362.0,0.0
Ground,None,77.0,0.0,0.0,0.0,0.0,614.0,0.0,0.0,2.0,6.0,51.0,0.0
Ground,None,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,507.0,1361.0,368.0,0.0
Normal,None,135.0,0.0,0.0,0.0,0.0,216.0,0.0,146.0,19.0,3.0,63.0,0.0
Normal,None,7.0,533.0,427.0,0.0,0.0,0.0,0.0,0.0,66.0,35.0,225.0,221.0
Normal,None,3.0,2.0,265.0,91.0,0.0,0.0,0.0,0.0,457.0,229.0,135.0,0.0
Fighting,None,5.0,108.0,0.0,0.0,0.0,0.0,111.0,237.0,32.0,11.0,78.0,43.0
Fighting,None,0.0,0.0,437.0,0.0,0.0,331.0,0.0,0.0,299.0,53.0,185.0,0.0
Ice,Psychic,68.0,0.0,243.0,0.0,0.0,0.0,0.0,93.0,88.0,0.0,91.0,0.0
Electric,None,0.0,27.0,599.0,0.0,0.0,0.0,0.0,0.0,1.0,145.0,118.0,0.0
Fire,None,466.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,20.0,11.0,134.0,0.0
Normal,None,226.0,0.0,12.0,0.0,0.0,6.0,0.0,320.0,212.0,250.0,268.0,68.0
Normal,None,164.0,0.0,0.0,0.0,0.0,0.0,0.0,956.0,351.0,77.0,181.0,0.0
Electric,None,3.0,0.0,835.0,0.0,0.0,152.0,439.0,0.0,235.0,479.0,369.0,0.0
Fire,None,63.0,52.0,88.0,0.0,0.0,0.0,0.0,0.0,1105.0,396.0,342.0,471.0
Water,None,1.0,0.0,0.0,0.0,41.0,983.0,848.0,0.0,139.0,200.0,255.0,0.0
Rock,Ground,36.0,7.0,0.0,589.0,0.0,0.0,0.0,0.0,33.0,0.0,111.0,0.0
Rock,Ground,0.0,2.0,0.0,0.0,0.0,792.0,0.0,0.0,0.0,12.0,163.0,0.0
Rock,Dark,5.0,6.0,0.0,1933.0,0.0,179.0,0.0,0.0,45.0,23.0,441.0,0.0
Psychic,Flying,12.0,0.0,0.0,0.0,0.0,1103.0,0.0,9.0,1108.0,0.0,330.0,0.0
Fire,Flying,1254.0,177.0,534.0,713.0,0.0,0.0,0.0,0.0,287.0,85.0,761.0,0.0
Psychic,Grass,0.0,0.0,0.0,261.0,0.0,56.0,0.0,0.0,168.0,8.0,84.0,0.0
Grass,None,48.0,10.0,23.0,548.0,0.0,0.0,0.0,28.0,0.0,0.0,184.0,0.0
Grass,None,192.0,0.0,9.0,1036.0,0.0,0.0,0.0,0.0,0.0,0.0,309.0,0.0
Grass,None,83.0,0.0,44.0,1622.0,0.0,0.0,0.0,0.0,0.0,0.0,377.0,0.0
Fire,None,116.0,202.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,10.0
Fire,Fighting,321.0,73.0,522.0,0.0,0.0,0.0,0.0,0.0,47.0,137.0,243.0,0.0
Fire,Fighting,737.0,314.0,97.0,0.0,0.0,2.0,0.0,0.0,607.0,71.0,294.0,0.0
Water,None,0.0,115.0,0.0,0.0,128.0,504.0,0.0,0.0,4.0,0.0,105.0,0.0
Water,Ground,0.0,275.0,0.0,0.0,642.0,265.0,0.0,0.0,0.0,15.0,189.0,0.0
Water,Ground,0.0,363.0,0.0,0.0,0.0,1211.0,0.0,38.0,92.0,541.0,466.0,0.0
Dark,None,18.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,144.0,636.0,178.0,0.0
Dark,None,11.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,227.0,1320.0,422.0,0.0
Normal,None,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,1037.0,80.0,236.0,0.0
Dark,Normal,0.0,0.0,0.0,0.0,95.0,0.0,0.0,34.0,487.0,537.0,239.0,0.0
Normal,None,0.0,0.0,1.0,0.0,2.0,6.0,0.0,0.0,773.0,489.0,185.0,0.0
Dark,Normal,16.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,361.0,972.0,276.0,0.0
Bug,None,347.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,257.0,18.0,120.0,0.0
Bug,None,11.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,597.0,110.0,98.0,0.0
Bug,Flying,44.0,146.0,221.0,0.0,0.0,33.0,0.0,0.0,79.0,722.0,232.0,37.0
Bug,None,14.0,0.0,0.0,0.0,0.0,0.0,169.0,8.0,426.0,162.0,123.0,0.0
Bug,Poison,91.0,81.0,134.0,643.0,0.0,0.0,212.0,16.0,14.0,78.0,217.0,0.0
Water,Grass,0.0,0.0,37.0,508.0,87.0,33.0,0.0,0.0,0.0,0.0,134.0,0.0
Water,Grass,50.0,0.0,0.0,808.0,0.0,0.0,0.0,39.0,0.0,11.0,235.0,0.0
Water,Grass,59.0,0.0,0.0,1179.0,0.0,0.0,0.0,42.0,960.0,0.0,427.0,0.0
Grass,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.0,262.0,100.0,85.0
Grass,Dark,0.0,0.0,0.0,121.0,0.0,0.0,0.0,3.0,837.0,0.0,202.0,0.0
Grass,Dark,0.0,0.0,5.0,318.0,0.0,0.0,0.0,0.0,1661.0,105.0,400.0,0.0
Normal,Flying,0.0,31.0,26.0,0.0,0.0,391.0,0.0,127.0,53.0,6.0,146.0,0.0
Normal,Flying,164.0,10.0,25.0,0.0,0.0,809.0,0.0,225.0,89.0,25.0,322.0,0.0
Water,Flying,0.0,27.0,0.0,0.0,0.0,85.0,0.0,0.0,133.0,96.0,103.0,0.0
Water,Flying,23.0,61.0,807.0,0.0,79.0,312.0,0.0,0.0,332.0,25.0,276.0,88.0
Psychic,Fairy,57.0,0.0,0.0,223.0,0.0,35.0,0.0,40.0,146.0,0.0,102.0,0.0
Psychic,Fairy,51.0,0.0,0.0,462.0,0.0,33.0,0.0,46.0,41.0,0.0,191.0,0.0
Psychic,Fairy,27.0,0.0,0.0,556.0,0.0,147.0,0.0,20.0,859.0,0.0,256.0,0.0
Bug,Water,14.0,0.0,89.0,0.0,80.0,164.0,0.0,0.0,0.0,4.0,109.0,0.0
Bug,Flying,0.0,388.0,0.0,0.0,108.0,46.0,0.0,144.0,674.0,0.0,191.0,0.0
Grass,None,0.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,541.0,0.0,98.0,0.0
Grass,Fighting,167.0,0.0,0.0,555.0,0.0,0.0,0.0,0.0,486.0,0.0,280.0,0.0
Normal,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,646.0,10.0,176.0,55.0
Normal,None,96.0,0.0,9.0,0.0,0.0,0.0,0.0,13.0,707.0,236.0,244.0,28.0
Normal,None,0.0,0.0,0.0,0.0,0.0,69.0,0.0,51.0,2489.0,0.0,432.0,0.0
Bug,Ground,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,360.0,99.0,140.0,27.0
Bug,Flying,138.0,65.0,42.0,0.0,0.0,0.0,0.0,0.0,188.0,323.0,242.0,6.0
Bug,Ghost,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,698.0,88.0,160.0,0.0
Normal,None,0.0,0.0,165.0,0.0,0.0,0.0,0.0,530.0,74.0,0.0,139.0,0.0
Normal,None,0.0,0.0,215.0,0.0,0.0,550.0,467.0,278.0,39.0,8.0,496.0,0.0
Normal,None,0.0,0.0,420.0,0.0,0.0,1492.0,0.0,444.0,27.0,35.0,453.0,0.0
Fighting,None,0.0,0.0,843.0,0.0,0.0,0.0,0.0,39.0,127.0,257.0,195.0,3.0
Fighting,None,701.0,0.0,349.0,0.0,0.0,438.0,0.0,0.0,1266.0,0.0,484.0,104.0
Normal,Fairy,0.0,0.0,0.0,0.0,0.0,803.0,0.0,33.0,8.0,0.0,170.0,0.0
Rock,None,130.0,0.0,0.0,0.0,0.0,972.0,0.0,17.0,0.0,0.0,232.0,0.0
Normal,None,67.0,0.0,0.0,0.0,0.0,0.0,32.0,388.0,264.0,0.0,129.0,0.0
Normal,None,0.0,143.0,0.0,0.0,0.0,0.0,619.0,0.0,246.0,5.0,287.0,0.0
Dark,Ghost,9.0,0.0,0.0,0.0,46.0,668.0,0.0,2.0,0.0,0.0,147.0,0.0
Steel,Fairy,0.0,342.0,0.0,0.0,0.0,0.0,0.0,42.0,16.0,650.0,355.0,59.0
Steel,Rock,0.0,0.0,0.0,0.0,0.0,109.0,0.0,0.0,128.0,116.0,147.0,0.0
Steel,Rock,46.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,479.0,766.0,387.0,0.0
Steel,Rock,29.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,334.0,1691.0,766.0,0.0
Fighting,Psychic,10.0,0.0,0.0,0.0,70.0,152.0,0.0,4.0,374.0,77.0,162.0,0.0
Fighting,Psychic,166.0,22.0,41.0,0.0,0.0,0.0,0.0,387.0,131.0,138.0,235.0,0.0
Electric,None,0.0,0.0,134.0,671.0,102.0,0.0,0.0,21.0,22.0,0.0,170.0,0.0
Electric,None,5.0,0.0,651.0,0.0,18.0,578.0,0.0,0.0,194.0,101.0,249.0,0.0
Electric,None,223.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,282.0,0.0,117.0,0.0
Electric,None,0.0,0.0,0.0,0.0,0.0,235.0,0.0,0.0,287.0,0.0,118.0,0.0
Bug,None,193.0,0.0,156.0,0.0,0.0,141.0,0.0,57.0,229.0,213.0,166.0,0.0
Bug,None,0.0,0.0,79.0,0.0,0.0,380.0,168.0,0.0,44.0,192.0,182.0,0.0
Grass,Poison,92.0,0.0,26.0,405.0,0.0,202.0,0.0,80.0,87.0,0.0,180.0,0.0
Poison,None,0.0,0.0,81.0,481.0,0.0,0.0,0.0,0.0,30.0,13.0,74.0,0.0
Poison,None,6.0,0.0,97.0,0.0,0.0,0.0,1715.0,0.0,0.0,250.0,188.0,0.0
Water,Dark,186.0,0.0,333.0,0.0,0.0,206.0,0.0,7.0,97.0,0.0,161.0,55.0
Water,Dark,56.0,0.0,58.0,0.0,0.0,1094.0,0.0,0.0,204.0,26.0,217.0,0.0
Water,None,0.0,0.0,0.0,0.0,0.0,1151.0,0.0,0.0,849.0,4.0,136.0,0.0
Water,None,0.0,0.0,0.0,0.0,0.0,1815.0,0.0,0.0,2164.0,110.0,77.0,0.0
Fire,Ground,0.0,0.0,684.0,121.0,0.0,0.0,0.0,0.0,295.0,0.0,122.0,0.0
Fire,Ground,1524.0,0.0,0.0,0.0,152.0,41.0,0.0,115.0,232.0,429.0,313.0,0.0
Fire,None,196.0,173.0,0.0,0.0,0.0,0.0,0.0,64.0,1610.0,479.0,157.0,35.0
Psychic,None,26.0,0.0,0.0,0.0,0.0,93.0,0.0,143.0,8.0,395.0,103.0,0.0
Psychic,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,825.0,0.0,803.0,318.0,0.0
Normal,None,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,692.0,0.0,190.0,54.0
Ground,None,703.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,32.0,127.0,100.0
Ground,Dragon,0.0,0.0,0.0,419.0,0.0,0.0,0.0,0.0,187.0,426.0,267.0,0.0
Ground,Dragon,375.0,0.0,0.0,1360.0,107.0,0.0,0.0,18.0,0.0,0.0,369.0,0.0
Grass,None,0.0,0.0,33.0,782.0,0.0,0.0,0.0,0.0,12.0,0.0,232.0,0.0
Grass,Dark,0.0,0.0,1.0,1625.0,0.0,0.0,0.0,0.0,2.0,3.0,256.0,0.0
Normal,Flying,0.0,0.0,0.0,0.0,0.0,395.0,0.0,0.0,298.0,69.0,65.0,0.0
Dragon,Flying,0.0,0.0,0.0,0.0,177.0,470.0,0.0,0.0,560.0,0.0,141.0,0.0
Normal,None,303.0,0.0,0.0,0.0,0.0,3.0,0.0,27.0,544.0,203.0,219.0,0.0
Poison,None,199.0,0.0,340.0,0.0,0.0,1345.0,225.0,0.0,0.0,0.0,288.0,0.0
Rock,Psychic,38.0,0.0,582.0,0.0,0.0,0.0,0.0,7.0,488.0,19.0,191.0,0.0
Rock,Psychic,6.0,674.0,656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241.0,0.0
Water,Ground,0.0,0.0,0.0,0.0,159.0,103.0,0.0,0.0,99.0,112.0,154.0,0.0
Water,Ground,0.0,0.0,296.0,26.0,163.0,1052.0,0.0,0.0,171.0,0.0,155.0,0.0
Water,None,310.0,224.0,0.0,0.0,0.0,0.0,0.0,127.0,353.0,0.0,246.0,0.0
Water,Dark,956.0,80.0,38.0,0.0,0.0,97.0,0.0,37.0,237.0,46.0,476.0,49.0
Ground,Psychic,91.0,0.0,221.0,0.0,0.0,0.0,0.0,0.0,121.0,86.0,100.0,0.0
Ground,Psychic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,455.0,996.0,568.0,244.0,0.0
Rock,Grass,0.0,0.0,124.0,0.0,0.0,162.0,175.0,614.0,0.0,21.0,197.0,0.0
Rock,Grass,0.0,0.0,248.0,1099.0,0.0,0.0,0.0,450.0,13.0,0.0,343.0,0.0
Rock,Bug,140.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,144.0,262.0,345.0,0.0
Rock,Bug,135.0,0.0,296.0,0.0,0.0,1190.0,0.0,0.0,283.0,86.0,635.0,0.0
Water,None,6.0,0.0,0.0,0.0,0.0,304.0,0.0,10.0,400.0,0.0,179.0,0.0
Water,None,692.0,0.0,0.0,0.0,445.0,0.0,0.0,0.0,1113.0,298.0,326.0,153.0
Normal,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.0,110.0,52.0,0.0
Water,None,0.0,0.0,0.0,0.0,205.0,310.0,0.0,0.0,175.0,212.0,79.0,0.0
Ice,None,0.0,0.0,0.0,839.0,79.0,133.0,111.0,0.0,134.0,23.0,76.0,0.0
Fire,None,174.0,458.0,72.0,0.0,0.0,0.0,0.0,0.0,85.0,53.0,70.0,192.0
Normal,None,0.0,0.0,244.0,586.0,131.0,0.0,0.0,45.0,78.0,0.0,152.0,0.0
Ghost,None,0.0,0.0,9.0,0.0,8.0,637.0,0.0,0.0,0.0,0.0,150.0,0.0
Ghost,None,18.0,24.0,119.0,0.0,0.0,0.0,112.0,0.0,28.0,851.0,196.0,30.0
Ghost,None,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.0,499.0,159.0,0.0
Ghost,None,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,1442.0,342.0,15.0
Grass,Flying,0.0,0.0,74.0,2287.0,0.0,0.0,0.0,0.0,852.0,0.0,389.0,106.0
Psychic,None,181.0,25.0,23.0,0.0,0.0,372.0,0.0,23.0,25.0,0.0,44.0,0.0
Dark,None,8.0,0.0,0.0,0.0,92.0,400.0,0.0,0.0,391.0,81.0,256.0,0.0
Psychic,None,68.0,0.0,0.0,0.0,471.0,133.0,0.0,0.0,5.0,4.0,146.0,0.0
Ice,None,115.0,0.0,126.0,0.0,0.0,8.0,0.0,0.0,147.0,232.0,88.0,0.0
Ice,None,0.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,935.0,569.0,541.0,0.0
Ice,Water,0.0,0.0,18.0,0.0,0.0,417.0,0.0,0.0,317.0,0.0,93.0,0.0
Ice,Water,0.0,0.0,0.0,0.0,0.0,785.0,0.0,0.0,611.0,0.0,164.0,0.0
Ice,Water,13.0,0.0,0.0,0.0,0.0,2197.0,0.0,12.0,128.0,0.0,207.0,0.0
Water,None,0.0,0.0,0.0,0.0,0.0,470.0,0.0,127.0,94.0,33.0,408.0,0.0
Water,None,0.0,584.0,0.0,0.0,693.0,303.0,0.0,94.0,194.0,9.0,232.0,0.0
Water,None,0.0,0.0,0.0,0.0,0.0,0.0,216.0,829.0,59.0,0.0,204.0,0.0
Water,Rock,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,751.0,0.0,179.0,444.0
Water,None,0.0,0.0,0.0,0.0,0.0,4.0,0.0,438.0,0.0,0.0,50.0,37.0
Dragon,None,0.0,0.0,24.0,0.0,0.0,522.0,0.0,0.0,215.0,32.0,116.0,0.0
Dragon,None,13.0,0.0,13.0,0.0,0.0,0.0,0.0,6.0,963.0,322.0,208.0,0.0
Dragon,Flying,783.0,0.0,0.0,0.0,1334.0,0.0,0.0,583.0,127.0,98.0,396.0,155.0
Steel,Psychic,6.0,0.0,0.0,0.0,0.0,581.0,0.0,0.0,3.0,13.0,211.0,9.0
Steel,Psychic,9.0,0.0,0.0,0.0,0.0,1390.0,0.0,2.0,32.0,109.0,330.0,3.0
Steel,Psychic,5.0,0.0,0.0,0.0,0.0,1627.0,0.0,0.0,140.0,156.0,427.0,2.0
Rock,None,230.0,445.0,348.0,0.0,0.0,0.0,0.0,0.0,1685.0,0.0,332.0,0.0
Ice,None,0.0,0.0,21.0,0.0,1166.0,1269.0,0.0,0.0,7.0,0.0,209.0,0.0
Steel,None,39.0,0.0,0.0,0.0,0.0,16.0,0.0,7.0,1073.0,1038.0,289.0,0.0
Dragon,Psychic,744.0,0.0,7.0,0.0,0.0,107.0,0.0,0.0,491.0,0.0,245.0,0.0
Dragon,Psychic,30.0,0.0,0.0,0.0,0.0,1033.0,0.0,0.0,589.0,138.0,226.0,0.0
Water,None,154.0,0.0,3.0,0.0,0.0,1976.0,30.0,186.0,274.0,86.0,366.0,0.0
Ground,None,1354.0,1.0,4.0,0.0,0.0,0.0,0.0,75.0,197.0,792.0,853.0,0.0
Dragon,Flying,0.0,21.0,121.0,613.0,1377.0,0.0,0.0,242.0,12.0,0.0,565.0,0.0
Steel,Psychic,0.0,0.0,457.0,0.0,120.0,0.0,0.0,0.0,234.0,61.0,157.0,0.0
Psychic,None,737.0,0.0,0.0,0.0,345.0,141.0,18.0,0.0,3.0,109.0,420.0,239.0
Psychic,None,1376.0,0.0,0.0,0.0,412.0,157.0,18.0,0.0,3.0,0.0,341.0,240.0
Psychic,None,938.0,0.0,0.0,0.0,316.0,170.0,18.0,0.0,3.0,30.0,391.0,195.0
Psychic,None,330.0,0.0,0.0,0.0,248.0,132.0,21.0,0.0,1.0,400.0,354.0,166.0
Grass,None,0.0,0.0,126.0,451.0,0.0,0.0,0.0,0.0,95.0,0.0,75.0,0.0
Grass,None,0.0,0.0,404.0,1308.0,0.0,0.0,0.0,0.0,451.0,15.0,150.0,0.0
Grass,Ground,0.0,0.0,0.0,1546.0,0.0,0.0,0.0,0.0,1513.0,159.0,337.0,0.0
Fire,None,73.0,221.0,156.0,0.0,0.0,0.0,0.0,0.0,146.0,4.0,85.0,66.0
Fire,Fighting,65.0,438.0,222.0,0.0,0.0,96.0,0.0,0.0,302.0,0.0,116.0,84.0
Fire,Fighting,287.0,434.0,400.0,0.0,0.0,117.0,0.0,0.0,157.0,88.0,204.0,93.0
Water,None,0.0,19.0,22.0,0.0,21.0,367.0,0.0,0.0,38.0,0.0,60.0,0.0
Water,None,0.0,0.0,83.0,0.0,0.0,995.0,0.0,0.0,136.0,0.0,125.0,33.0
Water,Steel,0.0,0.0,70.0,0.0,0.0,1749.0,0.0,0.0,238.0,0.0,256.0,29.0
Normal,Flying,0.0,48.0,0.0,0.0,0.0,0.0,0.0,32.0,56.0,368.0,141.0,0.0
Normal,Flying,0.0,45.0,0.0,0.0,0.0,0.0,0.0,90.0,24.0,581.0,199.0,18.0
Normal,Flying,36.0,60.0,0.0,0.0,0.0,0.0,0.0,309.0,37.0,827.0,285.0,49.0
Normal,None,4.0,655.0,106.0,0.0,0.0,0.0,0.0,0.0,234.0,4.0,129.0,0.0
Normal,Water,3.0,944.0,0.0,0.0,0.0,0.0,0.0,0.0,1008.0,0.0,239.0,94.0
Bug,None,171.0,17.0,102.0,0.0,0.0,0.0,0.0,0.0,342.0,16.0,219.0,89.0
Bug,None,510.0,14.0,16.0,0.0,0.0,0.0,73.0,0.0,350.0,0.0,257.0,192.0
Electric,None,1.0,0.0,85.0,0.0,0.0,605.0,0.0,1.0,56.0,0.0,142.0,0.0
Electric,None,4.0,0.0,112.0,0.0,0.0,950.0,0.0,1.0,42.0,0.0,254.0,0.0
Electric,None,7.0,0.0,75.0,0.0,0.0,1459.0,0.0,1.0,35.0,0.0,380.0,0.0
Grass,Poison,0.0,0.0,127.0,357.0,79.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0
Grass,Poison,76.0,0.0,29.0,369.0,291.0,192.0,0.0,175.0,106.0,0.0,192.0,0.0
Rock,None,3.0,0.0,0.0,0.0,0.0,563.0,0.0,0.0,167.0,196.0,173.0,0.0
Rock,None,6.0,0.0,0.0,0.0,0.0,508.0,0.0,0.0,123.0,1367.0,211.0,0.0
Rock,Steel,0.0,0.0,0.0,0.0,0.0,0.0,146.0,0.0,290.0,335.0,141.0,7.0
Rock,Steel,5.0,0.0,57.0,0.0,0.0,0.0,590.0,0.0,411.0,1149.0,343.0,0.0
Bug,None,0.0,0.0,9.0,0.0,0.0,0.0,0.0,353.0,0.0,175.0,65.0,0.0
Bug,Grass,0.0,0.0,0.0,472.0,0.0,53.0,0.0,0.0,0.0,126.0,129.0,0.0
Bug,Ground,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,451.0,233.0,119.0,49.0
Bug,Steel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,521.0,0.0,127.0,146.0,0.0
Bug,Flying,0.0,370.0,608.0,0.0,0.0,0.0,0.0,0.0,250.0,101.0,236.0,132.0
Bug,Flying,0.0,91.0,396.0,0.0,0.0,27.0,0.0,0.0,165.0,110.0,144.0,0.0
Bug,Flying,28.0,313.0,476.0,0.0,0.0,28.0,0.0,0.0,103.0,386.0,403.0,97.0
Electric,None,3.0,0.0,24.0,0.0,0.0,299.0,79.0,0.0,594.0,71.0,96.0,0.0
Water,None,0.0,439.0,12.0,0.0,9.0,12.0,0.0,0.0,133.0,8.0,148.0,113.0
Water,None,0.0,810.0,79.0,0.0,76.0,49.0,0.0,0.0,473.0,4.0,291.0,167.0
Grass,None,0.0,0.0,0.0,156.0,0.0,30.0,0.0,310.0,0.0,0.0,56.0,23.0
Grass,None,166.0,6.0,158.0,3.0,0.0,0.0,0.0,418.0,4.0,0.0,130.0,0.0
Water,None,0.0,0.0,80.0,0.0,0.0,0.0,0.0,319.0,145.0,12.0,104.0,0.0
Water,Ground,0.0,181.0,168.0,0.0,0.0,0.0,0.0,476.0,303.0,12.0,182.0,54.0
Normal,None,127.0,0.0,0.0,0.0,0.0,0.0,926.0,0.0,526.0,5.0,388.0,44.0
Ghost,Flying,0.0,0.0,110.0,0.0,0.0,5.0,374.0,0.0,55.0,21.0,107.0,0.0
Ghost,Flying,40.0,0.0,231.0,0.0,0.0,119.0,955.0,23.0,104.0,11.0,171.0,0.0
Normal,None,14.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,677.0,1.0,99.0,70.0
Normal,None,16.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1380.0,0.0,206.0,173.0
Ghost,None,16.0,0.0,6.0,0.0,0.0,0.0,1181.0,239.0,0.0,0.0,159.0,0.0
Dark,Flying,71.0,0.0,26.0,0.0,0.0,799.0,81.0,0.0,242.0,80.0,280.0,40.0
Normal,None,0.0,0.0,4.0,0.0,0.0,563.0,11.0,73.0,139.0,263.0,206.0,0.0
Normal,None,0.0,0.0,10.0,0.0,0.0,512.0,244.0,40.0,573.0,407.0,243.0,0.0
Psychic,None,88.0,0.0,244.0,0.0,0.0,14.0,0.0,0.0,84.0,0.0,88.0,41.0
Poison,Dark,0.0,11.0,0.0,0.0,0.0,0.0,673.0,0.0,231.0,1.0,154.0,6.0
Poison,Dark,4.0,10.0,0.0,0.0,0.0,0.0,1322.0,0.0,711.0,9.0,260.0,12.0
Steel,Psychic,0.0,0.0,24.0,9.0,400.0,307.0,0.0,0.0,0.0,0.0,62.0,0.0
Steel,Psychic,48.0,0.0,0.0,0.0,1996.0,0.0,0.0,16.0,79.0,0.0,200.0,0.0
Rock,None,3.0,0.0,77.0,300.0,0.0,0.0,0.0,0.0,329.0,0.0,134.0,0.0
Psychic,Fairy,24.0,0.0,0.0,0.0,0.0,359.0,0.0,353.0,16.0,12.0,147.0,0.0
Normal,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,506.0,23.0,0.0,84.0,0.0
Normal,Flying,14.0,0.0,40.0,17.0,0.0,96.0,0.0,7.0,43.0,341.0,109.0,0.0
Ghost,Dark,0.0,0.0,20.0,511.0,0.0,0.0,112.0,1136.0,39.0,0.0,40.0,50.0
Dragon,Ground,134.0,0.0,0.0,0.0,489.0,467.0,0.0,57.0,8.0,2.0,133.0,0.0
Dragon,Ground,230.0,0.0,3.0,0.0,0.0,1225.0,0.0,0.0,60.0,43.0,155.0,0.0
Dragon,Ground,283.0,0.0,93.0,0.0,0.0,2037.0,0.0,11.0,58.0,68.0,170.0,0.0
Normal,None,0.0,0.0,16.0,0.0,778.0,0.0,0.0,0.0,124.0,0.0,109.0,0.0
Fighting,None,10.0,0.0,2.0,0.0,0.0,378.0,0.0,0.0,9.0,258.0,193.0,0.0
Fighting,Steel,5.0,0.0,0.0,0.0,0.0,414.0,0.0,0.0,68.0,509.0,225.0,0.0
Ground,None,0.0,0.0,561.0,0.0,0.0,0.0,0.0,0.0,715.0,10.0,200.0,68.0
Ground,None,13.0,0.0,640.0,0.0,0.0,0.0,0.0,385.0,899.0,706.0,348.0,0.0
Poison,Bug,0.0,0.0,0.0,0.0,116.0,710.0,0.0,0.0,128.0,81.0,198.0,0.0
Poison,Dark,0.0,0.0,0.0,0.0,93.0,0.0,1240.0,853.0,100.0,0.0,627.0,0.0
Poison,Fighting,30.0,0.0,16.0,0.0,0.0,522.0,0.0,4.0,27.0,106.0,191.0,18.0
Poison,Fighting,154.0,0.0,10.0,0.0,0.0,1082.0,0.0,9.0,14.0,15.0,304.0,77.0
Grass,None,91.0,0.0,91.0,1204.0,146.0,0.0,0.0,0.0,0.0,0.0,423.0,17.0
Water,None,0.0,0.0,0.0,0.0,147.0,302.0,33.0,81.0,1.0,0.0,123.0,0.0
Water,None,0.0,0.0,0.0,0.0,428.0,855.0,6.0,15.0,1.0,0.0,243.0,0.0
Water,Flying,0.0,0.0,0.0,0.0,0.0,1217.0,0.0,0.0,0.0,0.0,128.0,0.0
Grass,Ice,0.0,0.0,0.0,4.0,283.0,198.0,0.0,0.0,676.0,158.0,0.0,0.0
Grass,Ice,0.0,0.0,0.0,0.0,786.0,533.0,34.0,0.0,640.0,0.0,0.0,0.0
Dark,Ice,124.0,0.0,9.0,0.0,0.0,554.0,30.0,537.0,60.0,0.0,278.0,0.0
